-2.000000   -0.042530
-1.520000   0.022191 
-1.155200   -0.014100
-0.877952   0.279809 
-0.667244   0.438685 
-0.507105   0.846476 
-0.385400   1.304930 
-0.265400   1.618200 
-0.145400   1.847360 
-0.025400   2.032830 
0.094600    1.983050 
0.214600    1.994050 
0.334600    1.816780 
0.454600    1.880550 
0.574600    1.710420 
0.694600    1.433230 
0.814600    1.197380 
0.934600    0.836867 
1.054600    0.086552 
1.174600    0.511729 
1.294600    0.843684 
1.414600    1.197340 
1.534600    1.594750 
1.654600    1.978260 
1.774600    2.358410 
1.894600    2.709000 
2.014600    3.054170 
2.134600    2.848310 
2.254600    2.864460 
2.374600    2.765930 
2.494600    2.719100 
2.614600    2.648030 
3.574600    2.148050 
3.694600    2.108100 
3.814600    2.086910 
3.934600    2.074720 
4.054600    1.997370 
